cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
farní kronika,parochial chronicle,teater,2203,1788,písemnost,Artefact,teater:1788,0
fasces,fasces,teater,2365,1788,symbolický předmět,Artefact,teater:1788,0
fialé,phiale,teater,2039,1788,nádoba,Artefact,teater:1788,0
figurální plastika,statue,teater,1817,1788,doklady umění,Artefact,teater:1788,0
florén,florin,teater,2285,1788,platidlo,Artefact,teater:1788,0
forminx,phorminx,teater,1831,1788,doklady umění,Artefact,teater:1788,0
formulářová sbírka,formulary,teater,2256,1788,písemnost,Artefact,teater:1788,0
freska,frescoe,teater,1824,1788,doklady umění,Artefact,teater:1788,0
funkčně nespecifikovaný předmět,unassigned,teater,1954,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
garum,garum,teater,2409,1788,zboží,Artefact,teater:1788,0
gem,gemstone,teater,2381,1788,šperk,Artefact,teater:1788,0
geranos,mechane,teater,2095,1788,nástroj,Artefact,teater:1788,0
glosář,glossary,teater,2195,1788,písemnost,Artefact,teater:1788,0
gombík,button,teater,2382,1788,šperk,Artefact,teater:1788,0
gotická desková malba,gothic panel painting,teater,1852,1788,doklady umění,Artefact,teater:1788,0
gotická nástěnná malba,gothic mural painting,teater,1867,1788,doklady umění,Artefact,teater:1788,0
graduál,gradual,teater,2225,1788,písemnost,Artefact,teater:1788,0
graffito,graffiti,teater,1825,1788,doklady umění,Artefact,teater:1788,0
grešle,groschen,teater,2286,1788,platidlo,Artefact,teater:1788,0
groma,groma,teater,2096,1788,nástroj,Artefact,teater:1788,0
groteska (malba),grotesque (painting),teater,1868,1788,doklady umění,Artefact,teater:1788,0
guttae,guttae,teater,1798,1788,architektonický článek,Artefact,teater:1788,0
hagiografie,hagiography,teater,2226,1788,písemnost,Artefact,teater:1788,0
harfa,harp,teater,1832,1788,doklady umění,Artefact,teater:1788,0
harpuna,harpoon,teater,1988,1788,militaria,Artefact,teater:1788,0
hermovka,herma,teater,1890,1788,doklady umění,Artefact,teater:1788,0
herní předmět,gaming item,teater,1964,1788,herní předmět,Artefact,teater:1788,0
himation,himation,teater,2169,1788,oděv,Artefact,teater:1788,0
hladítko,smoother,teater,2097,1788,nástroj,Artefact,teater:1788,0
hlasatelská berla,caduceus,teater,2369,1788,symbolický předmět,Artefact,teater:1788,0
hlušina,gangue,teater,1938,1788,ekofakt,Artefact,teater:1788,0
hodina,hour,teater,2099,1788,nástroj,Artefact,teater:1788,0
hodiny,clock,teater,2098,1788,nástroj,Artefact,teater:1788,0
hodometr,hodometron,teater,2100,1788,nástroj,Artefact,teater:1788,0
hrací kamen,gaming piece,teater,1965,1788,herní předmět,Artefact,teater:1788,0
hračka,toy,teater,1966,1788,herní předmět,Artefact,teater:1788,0
hrnec,pot,teater,2040,1788,nádoba,Artefact,teater:1788,0
hrnčířský kruh,potters wheel,teater,2101,1788,nástroj,Artefact,teater:1788,0
hrot,point,teater,1958,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
hrot kopí,spearhead,teater,1989,1788,militaria,Artefact,teater:1788,0
hrot oštěpu,spearhead,teater,1990,1788,militaria,Artefact,teater:1788,0
hrot šipky,crossbow bolt,teater,1991,1788,militaria,Artefact,teater:1788,0
hrot šípu,arrowhead,teater,1992,1788,militaria,Artefact,teater:1788,0
hudební nástroj,musical instrument,teater,1826,1788,doklady umění,Artefact,teater:1788,0
hydria,hydria,teater,2041,1788,nádoba,Artefact,teater:1788,0
hák,hook,teater,1957,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
hřeb,spike,teater,2342,1788,stavební prvek,Artefact,teater:1788,0
hřeben,comb,teater,2102,1788,nástroj,Artefact,teater:1788,0
hřebík,nail,teater,2341,1788,stavební prvek,Artefact,teater:1788,0
hřivna,ring ingot,teater,2303,1788,polotovar,Artefact,teater:1788,0
idól,idol,teater,1819,1788,doklady umění,Artefact,teater:1788,0
ikona,icon,teater,1855,1788,doklady umění,Artefact,teater:1788,0
ingot,ingot,teater,2304,1788,polotovar,Artefact,teater:1788,0
insignie,insignia,teater,2364,1788,symbolický předmět,Artefact,teater:1788,0
itinerář,itinerarium,teater,2196,1788,písemnost,Artefact,teater:1788,0
jehelník,pincushion,teater,2103,1788,nástroj,Artefact,teater:1788,0
jehla,needle,teater,2104,1788,nástroj,Artefact,teater:1788,0
jehlice,dress pin,teater,2383,1788,šperk,Artefact,teater:1788,0
jeskynní malba,cave painting,teater,1856,1788,doklady umění,Artefact,teater:1788,0
ječmen,barley,teater,1927,1788,ekofakt,Artefact,teater:1788,0
josefínský katastr,Josephine Cadastre,teater,2257,1788,písemnost,Artefact,teater:1788,0
jídlo,food,teater,2411,1788,zboží,Artefact,teater:1788,0
kachel,stove tile,teater,2344,1788,stavební prvek,Artefact,teater:1788,0
kalich,goblet,teater,2043,1788,nádoba,Artefact,teater:1788,0
kamej,cameo,teater,2384,1788,šperk,Artefact,teater:1788,0
kamenná industrie,stone industry,teater,2105,1788,nástroj,Artefact,teater:1788,0
kamenné jádro,core,teater,1919,1788,ekofakt,Artefact,teater:1788,0
kancionál,hymnal,teater,2228,1788,písemnost,Artefact,teater:1788,0
kanopa,canopic jars,teater,2044,1788,nádoba,Artefact,teater:1788,0
kantharos,kantharos,teater,2045,1788,nádoba,Artefact,teater:1788,0
kaptorga,casket,teater,2385,1788,šperk,Artefact,teater:1788,0
karroballista,carroballista,teater,1978,1788,militaria,Artefact,teater:1788,0
kasie,casia,teater,2412,1788,zboží,Artefact,teater:1788,0
katalog (starověké Řecko),katalogos (Greek antiquity),teater,2197,1788,písemnost,Artefact,teater:1788,0
katapult (zbraně),catapult,teater,1979,1788,militaria,Artefact,teater:1788,0
kenotaf,cenotaph,teater,2314,1788,součást hrobu,Artefact,teater:1788,0
keras,keras,teater,1833,1788,doklady umění,Artefact,teater:1788,0
kithara,kithara,teater,1834,1788,doklady umění,Artefact,teater:1788,0
kladivo,hammer,teater,2109,1788,nástroj,Artefact,teater:1788,0
klapačka (nožní),scabellum,teater,1835,1788,doklady umění,Artefact,teater:1788,0
klapačka (ruční),crotalum,teater,1836,1788,doklady umění,Artefact,teater:1788,0
kleště,tongs,teater,2110,1788,nástroj,Artefact,teater:1788,0
klobouk,hat,teater,2173,1788,oděv,Artefact,teater:1788,0
klášterní kronika,monastic chronicle,teater,2204,1788,písemnost,Artefact,teater:1788,0
klín,wedge,teater,2112,1788,nástroj,Artefact,teater:1788,0
klínopisná tabulka,cuneiform tablet,teater,2244,1788,písemnost,Artefact,teater:1788,0
klíné,kline,teater,2024,1788,nábytek,Artefact,teater:1788,0
klíč,key,teater,2111,1788,nástroj,Artefact,teater:1788,0
kniha,book,teater,2198,1788,písemnost,Artefact,teater:1788,0
knoflík,button,teater,2319,1788,součást oděvu,Artefact,teater:1788,0
koberec,carpet,teater,2025,1788,nábytek,Artefact,teater:1788,0
koflík,cup,teater,2046,1788,nádoba,Artefact,teater:1788,0
kompendium,compendium,teater,2199,1788,písemnost,Artefact,teater:1788,0
konvice,pitcher,teater,2047,1788,nádoba,Artefact,teater:1788,0
kopiář,copybook,teater,2258,1788,písemnost,Artefact,teater:1788,0
kopí,spear,teater,1996,1788,militaria,Artefact,teater:1788,0
korespondence,correspondence,teater,2200,1788,písemnost,Artefact,teater:1788,0
koroplastika,greek terracotta figurine,teater,1820,1788,doklady umění,Artefact,teater:1788,0
korunovační insignie,coronations insignia,teater,2387,1788,šperk,Artefact,teater:1788,0
korálek,bead,teater,2386,1788,šperk,Artefact,teater:1788,0
koré,kore,teater,1891,1788,doklady umění,Artefact,teater:1788,0
kosa,scythe,teater,2156,1788,nástroj,Artefact,teater:1788,0
kosterní pozůstatky člověka,human remains,teater,1920,1788,ekofakt,Artefact,teater:1788,0
kosterní pozůstatky živočichů,animal remains,teater,1921,1788,ekofakt,Artefact,teater:1788,0
kostra,skeleton,teater,1922,1788,ekofakt,Artefact,teater:1788,0
kotel,cauldron (kotel/Kessel),teater,2048,1788,nádoba,Artefact,teater:1788,0
kotlík,cauldron (kotlík/Becken),teater,2049,1788,nádoba,Artefact,teater:1788,0
kotylé,kotyle,teater,2050,1788,nádoba,Artefact,teater:1788,0
kovadlina,anvil,teater,2113,1788,nástroj,Artefact,teater:1788,0
kovová plastika,metal sculpture,teater,1821,1788,doklady umění,Artefact,teater:1788,0
kování,ironwork,teater,1959,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
koňský postroj,horse trappings,teater,1899,1788,doprava,Artefact,teater:1788,0
koření,spice,teater,2413,1788,zboží,Artefact,teater:1788,0
krejcar,kreuzer,teater,2287,1788,platidlo,Artefact,teater:1788,0
krev,blood,teater,1923,1788,ekofakt,Artefact,teater:1788,0
kronika,chronicle,teater,2202,1788,písemnost,Artefact,teater:1788,0
kroužek,ring (kroužek/Ring),teater,1960,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
kroužková zbroj,mail armour,teater,2019,1788,militaria,Artefact,teater:1788,0
krumpáč,pickaxe,teater,2114,1788,nástroj,Artefact,teater:1788,0
krátér,krater,teater,2051,1788,nádoba,Artefact,teater:1788,0
kuchařský recept,recipe,teater,2208,1788,písemnost,Artefact,teater:1788,0
kuchyňská sůl,table salt,teater,2414,1788,zboží,Artefact,teater:1788,0
kuchyňské nádobí,cookware,teater,2052,1788,nádoba,Artefact,teater:1788,0
kulička,marble,teater,1961,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
kurvatura,curvature,teater,1800,1788,architektonický článek,Artefact,teater:1788,0
kuše,crossbow,teater,1997,1788,militaria,Artefact,teater:1788,0
kyathos,kyathos,teater,2053,1788,nádoba,Artefact,teater:1788,0
kylix,kylix,teater,2054,1788,nádoba,Artefact,teater:1788,0
kázání,sermon,teater,2229,1788,písemnost,Artefact,teater:1788,0
kúros,kouros,teater,1892,1788,doklady umění,Artefact,teater:1788,0
křesadlo,strike a light,teater,2115,1788,nástroj,Artefact,teater:1788,0
křesťanská legenda,christian legend,teater,2230,1788,písemnost,Artefact,teater:1788,0
křesťanská literatura,christian literature,teater,2215,1788,písemnost,Artefact,teater:1788,0
křížek,cross,teater,2388,1788,šperk,Artefact,teater:1788,0
lamelová zbroj,segmented armour,teater,2020,1788,militaria,Artefact,teater:1788,0
lampa,lamp,teater,2056,1788,nádoba,Artefact,teater:1788,0
lapis manalis,manalis lapis,teater,2370,1788,symbolický předmět,Artefact,teater:1788,0
lebés,lebes,teater,2057,1788,nádoba,Artefact,teater:1788,0
letopisy,annals,teater,2210,1788,písemnost,Artefact,teater:1788,0
leták,leaflet,teater,2209,1788,písemnost,Artefact,teater:1788,0
liber,libellus,teater,2211,1788,písemnost,Artefact,teater:1788,0
libum,libum,teater,2417,1788,zboží,Artefact,teater:1788,0
lidová malba,folk painting,teater,1857,1788,doklady umění,Artefact,teater:1788,0
lidová malba na skle,folk painting on glass,teater,1858,1788,doklady umění,Artefact,teater:1788,0
list (diplomatika),letter (Diplomatics),teater,2212,1788,písemnost,Artefact,teater:1788,0
listina,document,teater,2259,1788,písemnost,Artefact,teater:1788,0
lituus,lituus,teater,1837,1788,doklady umění,Artefact,teater:1788,0
lopata,shovel,teater,2117,1788,nástroj,Artefact,teater:1788,0
loď,ship,teater,1905,1788,doprava,Artefact,teater:1788,0
luk,bow,teater,1998,1788,militaria,Artefact,teater:1788,0
lyra,lyre,teater,1838,1788,doklady umění,Artefact,teater:1788,0
láhev,bottle,teater,2055,1788,nádoba,Artefact,teater:1788,0
lékařský nástroj,medical device,teater,2116,1788,nástroj,Artefact,teater:1788,0
léky,medicine,teater,2416,1788,zboží,Artefact,teater:1788,0
lékythos,lekythos,teater,2058,1788,nádoba,Artefact,teater:1788,0
léčiva,medication,teater,2415,1788,zboží,Artefact,teater:1788,0
lútroforos,loutrophoros,teater,2059,1788,nádoba,Artefact,teater:1788,0
lžíce,spoon,teater,2118,1788,nástroj,Artefact,teater:1788,0
malakofauna,mollusca remains,teater,1924,1788,ekofakt,Artefact,teater:1788,0
malba,painting,teater,1850,1788,doklady umění,Artefact,teater:1788,0
malba na hedvábí,silk painting,teater,1864,1788,doklady umění,Artefact,teater:1788,0
malba na keramice,pottery painting,teater,1859,1788,doklady umění,Artefact,teater:1788,0
malba na mědi,painting on copper,teater,1860,1788,doklady umění,Artefact,teater:1788,0
malba na porcelánu,porcelain painting,teater,1861,1788,doklady umění,Artefact,teater:1788,0
malba na skle,glass painting,teater,1862,1788,doklady umění,Artefact,teater:1788,0
malba na textilu,textile painting,teater,1863,1788,doklady umění,Artefact,teater:1788,0
mariánský amulet,Miraculous Medal,teater,3863,1788,šperk,Artefact,teater:1788,0
maska,mask,teater,1874,1788,doklady umění,Artefact,teater:1788,0
maskaron,mascaron,teater,1801,1788,architektonický článek,Artefact,teater:1788,0
matrika,birth register,teater,2264,1788,písemnost,Artefact,teater:1788,0
med,honey,teater,2418,1788,zboží,Artefact,teater:1788,0
medaile,medal,teater,2362,1788,symbolický předmět,Artefact,teater:1788,0
medailon,medallion,teater,2389,1788,šperk,Artefact,teater:1788,0
medovina,mead,teater,2419,1788,zboží,Artefact,teater:1788,0
mensa,mensa,teater,2119,1788,nástroj,Artefact,teater:1788,0
metopa,metope,teater,1802,1788,architektonický článek,Artefact,teater:1788,0
meč,sword,teater,2000,1788,militaria,Artefact,teater:1788,0
militaria,armour and weapons,teater,1970,1788,militaria,Artefact,teater:1788,0
mince,coin,teater,2276,1788,platidlo,Artefact,teater:1788,0
mincovní váha,coin scale,teater,2150,1788,nástroj,Artefact,teater:1788,0
misál,missal,teater,2231,1788,písemnost,Artefact,teater:1788,0
mitra,mitra,teater,2320,1788,součást oděvu,Artefact,teater:1788,0
mlýnský kámen,millstone,teater,2120,1788,nástroj,Artefact,teater:1788,0
modlitební kniha,prayer book,teater,2232,1788,písemnost,Artefact,teater:1788,0
mola salsa,mola salsa,teater,2420,1788,zboží,Artefact,teater:1788,0
monochord,monochord,teater,1839,1788,doklady umění,Artefact,teater:1788,0
monoxyl,logboat,teater,1898,1788,doprava,Artefact,teater:1788,0
moretum,moretum,teater,2421,1788,zboží,Artefact,teater:1788,0
motyka,hoe,teater,2157,1788,nástroj,Artefact,teater:1788,0
mozaika,mosaic,teater,1875,1788,doklady umění,Artefact,teater:1788,0
mulsum,mulsum,teater,2422,1788,zboží,Artefact,teater:1788,0
mumie,mummy,teater,1925,1788,ekofakt,Artefact,teater:1788,0
mísa,bowl,teater,2060,1788,nádoba,Artefact,teater:1788,0
městská kniha,town book,teater,2265,1788,písemnost,Artefact,teater:1788,0
městská kronika,town chronicle,teater,2205,1788,písemnost,Artefact,teater:1788,0
nekrologium,necrology,teater,2235,1788,písemnost,Artefact,teater:1788,0
nepálená cihla,mud-brick,teater,2346,1788,stavební prvek,Artefact,teater:1788,0
nobilitační listina,nobility document,teater,2261,1788,písemnost,Artefact,teater:1788,0
noviny,newspaper,teater,2236,1788,písemnost,Artefact,teater:1788,0
novozákonní apokryf,Apocryphal books (New Testament),teater,2185,1788,písemnost,Artefact,teater:1788,0
náboženská literatura,religious literature,teater,2213,1788,písemnost,Artefact,teater:1788,0
nábytek,furniture,teater,2023,1788,nábytek,Artefact,teater:1788,0
nádoba,vessel,teater,2027,1788,nádoba,Artefact,teater:1788,0
náholenice,greave,teater,2014,1788,militaria,Artefact,teater:1788,0
náhrdelník,necklace,teater,2390,1788,šperk,Artefact,teater:1788,0
nákladní loď,cargo ship,teater,1907,1788,doprava,Artefact,teater:1788,0
nákončí,strap end,teater,2391,1788,šperk,Artefact,teater:1788,0
nákrčník,torque,teater,2392,1788,šperk,Artefact,teater:1788,0
nánožník,anklet,teater,2393,1788,šperk,Artefact,teater:1788,0
nápažník,armlet,teater,2394,1788,šperk,Artefact,teater:1788,0
nápoj,drink,teater,2423,1788,zboží,Artefact,teater:1788,0
náprsník,breastplate,teater,2015,1788,militaria,Artefact,teater:1788,0
náprstek,thimble,teater,2121,1788,nástroj,Artefact,teater:1788,0
náramek,bracelet,teater,2395,1788,šperk,Artefact,teater:1788,0
nástroj,tool,teater,2085,1788,nástroj,Artefact,teater:1788,0
nástěnná malba,mural painting,teater,1865,1788,doklady umění,Artefact,teater:1788,0
nátepní destička,bracer,teater,2321,1788,součást oděvu,Artefact,teater:1788,0
náušnice,ear ring,teater,2396,1788,šperk,Artefact,teater:1788,0
nářadí,hand tool,teater,2122,1788,nástroj,Artefact,teater:1788,0
nýt,rivet,teater,2343,1788,stavební prvek,Artefact,teater:1788,0
nůž,knive,teater,2123,1788,nástroj,Artefact,teater:1788,0
nůžky,scissors,teater,2124,1788,nástroj,Artefact,teater:1788,0
obchodní loď,merchant vessel,teater,1906,1788,doprava,Artefact,teater:1788,0
obecní kronika,municipal chronicle,teater,2206,1788,písemnost,Artefact,teater:1788,0
obilniny,cereals,teater,1926,1788,ekofakt,Artefact,teater:1788,0
obilí (zrno),corn,teater,1928,1788,ekofakt,Artefact,teater:1788,0
obléhací beran,battering ram,teater,1980,1788,militaria,Artefact,teater:1788,0
obléhací podloubí,siegecraft,teater,1981,1788,militaria,Artefact,teater:1788,0
obléhací stroj,siege engine,teater,1976,1788,militaria,Artefact,teater:1788,0
obléhací věž,siege tower,teater,1983,1788,militaria,Artefact,teater:1788,0
obléhací šípomet,scorpion,teater,1982,1788,militaria,Artefact,teater:1788,0
obolos,Obolos,teater,2289,1788,platidlo,Artefact,teater:1788,0
obuv,footwear,teater,2322,1788,součást oděvu,Artefact,teater:1788,0
ocílka,firesteel,teater,2125,1788,nástroj,Artefact,teater:1788,0
odlévací forma,casting mould,teater,2126,1788,nástroj,Artefact,teater:1788,0
odpad,waste,teater,1935,1788,ekofakt,Artefact,teater:1788,0
oděv,clothing,teater,2167,1788,oděv,Artefact,teater:1788,0
oinochoé,oenochoe,teater,2061,1788,nádoba,Artefact,teater:1788,0
olej,oils,teater,2424,1788,zboží,Artefact,teater:1788,0
olivy,olive,teater,2425,1788,zboží,Artefact,teater:1788,0
omítka,plaster,teater,2347,1788,stavební prvek,Artefact,teater:1788,0
onager,onager,teater,1984,1788,militaria,Artefact,teater:1788,0
opasek,belt,teater,2326,1788,součást oděvu,Artefact,teater:1788,0
oradlo,ard,teater,2159,1788,nástroj,Artefact,teater:1788,0
ornament,ornament,teater,1877,1788,doklady umění,Artefact,teater:1788,0
ornamentika,ornamentation,teater,1876,1788,doklady umění,Artefact,teater:1788,0
ostruha,spur,teater,1971,1788,militaria,Artefact,teater:1788,0
ostění,jamb,teater,1803,1788,architektonický článek,Artefact,teater:1788,0
osvětlování,light source,teater,2128,1788,nástroj,Artefact,teater:1788,0
otloukač,percussor,teater,2127,1788,nástroj,Artefact,teater:1788,0
oves,oats,teater,1929,1788,ekofakt,Artefact,teater:1788,0
oštěp,javelin,teater,2001,1788,militaria,Artefact,teater:1788,0
palcát,mace (palcát),teater,2002,1788,militaria,Artefact,teater:1788,0
palice,club,teater,2129,1788,nástroj,Artefact,teater:1788,0
palla,palla,teater,2174,1788,oděv,Artefact,teater:1788,0
palladium,palladium,teater,1893,1788,doklady umění,Artefact,teater:1788,0
palmeta,palmette,teater,1878,1788,doklady umění,Artefact,teater:1788,0
palná zbraň,firearm,teater,2003,1788,militaria,Artefact,teater:1788,0
paludamentum,paludamentum,teater,2175,1788,oděv,Artefact,teater:1788,0
památník,Album Amicorum,teater,3735,1788,písemnost,Artefact,teater:1788,0
panathénajské amfory,panathenaic amphorae,teater,2363,1788,symbolický předmět,Artefact,teater:1788,0
pancíř,cuirass,teater,2016,1788,militaria,Artefact,teater:1788,0
panova flétna,pan flute,teater,1840,1788,doklady umění,Artefact,teater:1788,0
papežský dokument,papal documents,teater,2237,1788,písemnost,Artefact,teater:1788,0
parský mramor,parian chronicle,teater,2238,1788,písemnost,Artefact,teater:1788,0
parva,parvus,teater,2290,1788,platidlo,Artefact,teater:1788,0
pasionál,passional,teater,2233,1788,písemnost,Artefact,teater:1788,0
pasquino,pasquino,teater,1894,1788,doklady umění,Artefact,teater:1788,0
peliké,pelike,teater,2063,1788,nádoba,Artefact,teater:1788,0
peplos,peplos,teater,2176,1788,oděv,Artefact,teater:1788,0
petasos,petasos,teater,2177,1788,oděv,Artefact,teater:1788,0
picí roh,drinking horn,teater,2064,1788,nádoba,Artefact,teater:1788,0
pila,saw,teater,2132,1788,nástroj,Artefact,teater:1788,0
pileus,pileus,teater,2178,1788,oděv,Artefact,teater:1788,0
pilník,file,teater,2131,1788,nástroj,Artefact,teater:1788,0
pinax,pinax,teater,1871,1788,doklady umění,Artefact,teater:1788,0
pinzeta,tweezers,teater,2133,1788,nástroj,Artefact,teater:1788,0
pithos,pithos,teater,2065,1788,nádoba,Artefact,teater:1788,0
pivo,beer,teater,2426,1788,zboží,Artefact,teater:1788,0
platidlo,money,teater,2274,1788,platidlo,Artefact,teater:1788,0
plech,sheet,teater,1962,1788,funkčně nespecifikovaný předmět,Artefact,teater:1788,0
pleva,husk,teater,1942,1788,ekofakt,Artefact,teater:1788,0
plevel,weed,teater,1941,1788,ekofakt,Artefact,teater:1788,0
plinthos,plinth,teater,1804,1788,architektonický článek,Artefact,teater:1788,0
pluh,plow,teater,2158,1788,nástroj,Artefact,teater:1788,0
plátová zbroj,plate armour,teater,2021,1788,militaria,Artefact,teater:1788,0
pochva,scabbard,teater,1972,1788,militaria,Artefact,teater:1788,0
podkova,horseshoe,teater,1900,1788,doprava,Artefact,teater:1788,0
pohár,beaker,teater,2066,1788,nádoba,Artefact,teater:1788,0
pojivo,binder,teater,2348,1788,stavební prvek,Artefact,teater:1788,0
poklice,lid,teater,2067,1788,nádoba,Artefact,teater:1788,0
pokrývky hlavy,cap,teater,2179,1788,oděv,Artefact,teater:1788,0
polenta,polenta,teater,2427,1788,zboží,Artefact,teater:1788,0
polotovar,semifinished artefact,teater,2302,1788,polotovar,Artefact,teater:1788,0
polyptychon,polyptych,teater,2247,1788,písemnost,Artefact,teater:1788,0
popel,ash,teater,1943,1788,ekofakt,Artefact,teater:1788,0
popelnice,cinerary urn,teater,2068,1788,nádoba,Artefact,teater:1788,0
potrubí,pipe,teater,2350,1788,stavební prvek,Artefact,teater:1788,0
poutko,loop,teater,2349,1788,stavební prvek,Artefact,teater:1788,0
pouzdro,case,teater,2327,1788,součást oděvu,Artefact,teater:1788,0
pozemková kniha,land register,teater,2266,1788,písemnost,Artefact,teater:1788,0
prak,sling,teater,2004,1788,militaria,Artefact,teater:1788,0
pražnice,baking tray,teater,2069,1788,nádoba,Artefact,teater:1788,0
pražský groš,prague groschen,teater,2291,1788,platidlo,Artefact,teater:1788,0
prejz,pantile,teater,2355,1788,stavební prvek,Artefact,teater:1788,0
privilegium,privilege,teater,2263,1788,písemnost,Artefact,teater:1788,0
prkno,board,teater,2351,1788,stavební prvek,Artefact,teater:1788,0
projektil,projectile,teater,2005,1788,militaria,Artefact,teater:1788,0
proso,millet,teater,1930,1788,ekofakt,Artefact,teater:1788,0
prsten,ring,teater,2397,1788,šperk,Artefact,teater:1788,0
psací tabulka,writing tablet,teater,2245,1788,písemnost,Artefact,teater:1788,0
psyktér,psykter,teater,2070,1788,nádoba,Artefact,teater:1788,0
puklice,spangle,teater,2329,1788,součást oděvu,Artefact,teater:1788,0
putna,large pitcher,teater,2071,1788,nádoba,Artefact,teater:1788,0
pyxid,pyxis,teater,2072,1788,nádoba,Artefact,teater:1788,0
pánev,pan,teater,2062,1788,nádoba,Artefact,teater:1788,0
pásová zápona,belt fitting,teater,2336,1788,součást oděvu,Artefact,teater:1788,0
písemnost,document,teater,2181,1788,písemnost,Artefact,teater:1788,0
píšťala,pipe,teater,1841,1788,doklady umění,Artefact,teater:1788,0
pěstní klín,handaxe,teater,2130,1788,nástroj,Artefact,teater:1788,0
přechovávaná přírodnina,handled natural product,teater,1944,1788,ekofakt,Artefact,teater:1788,0
přeslen,spindle whorl,teater,2134,1788,nástroj,Artefact,teater:1788,0
přezka,buckle,teater,2328,1788,součást oděvu,Artefact,teater:1788,0
přilba,helmet,teater,2017,1788,militaria,Artefact,teater:1788,0
přívěsek,pendant,teater,2398,1788,šperk,Artefact,teater:1788,0
pšenice dvouzrnka,emmer wheat,teater,1931,1788,ekofakt,Artefact,teater:1788,0
pšenice jednozrnka,einkorn wheat,teater,1932,1788,ekofakt,Artefact,teater:1788,0
pšenice špalda,spelt,teater,1933,1788,ekofakt,Artefact,teater:1788,0
quadrigae,quadriga,teater,1917,1788,doprava,Artefact,teater:1788,0
radlice,ploughshare,teater,2160,1788,nástroj,Artefact,teater:1788,0
rakev,coffin,teater,2315,1788,součást hrobu,Artefact,teater:1788,0
reflexní luk,reflex bow,teater,1999,1788,militaria,Artefact,teater:1788,0
regest,regest,teater,2239,1788,písemnost,Artefact,teater:1788,0
relikviář,reliquary,teater,2073,1788,nádoba,Artefact,teater:1788,0
reliéf (sochařství),relief sculpture,teater,1881,1788,doklady umění,Artefact,teater:1788,0
renesanční nástěnná malba,renaissance mural painting,teater,1869,1788,doklady umění,Artefact,teater:1788,0
rescriptum,rescriptum,teater,2240,1788,písemnost,Artefact,teater:1788,0
rhyton,rhyton,teater,2074,1788,nádoba,Artefact,teater:1788,0
rodová kronika,family chronicle,teater,2207,1788,písemnost,Artefact,teater:1788,0
rolnička,jingle jangle,teater,2399,1788,šperk,Artefact,teater:1788,0
románská nástěnná malba,romanesque mural painting,teater,1870,1788,doklady umění,Artefact,teater:1788,0
rostlinné makrozbytky,plant macro remains,teater,1945,1788,ekofakt,Artefact,teater:1788,0
ruda,ore,teater,2305,1788,polotovar,Artefact,teater:1788,0
ruční bubínek,tympanum,teater,1842,1788,doklady umění,Artefact,teater:1788,0
rybářské závaží,sinker,teater,2153,1788,nástroj,Artefact,teater:1788,0
rydlo,burin,teater,2136,1788,nástroj,Artefact,teater:1788,0
rytina,engraving,teater,1883,1788,doklady umění,Artefact,teater:1788,0
rýč,spade,teater,2135,1788,nástroj,Artefact,teater:1788,0
růženec,rosary,teater,2400,1788,šperk,Artefact,teater:1788,0
sagum,sagum,teater,2180,1788,oděv,Artefact,teater:1788,0
salpinx,salpinx,teater,1843,1788,doklady umění,Artefact,teater:1788,0
sandály,sandals,teater,2325,1788,součást oděvu,Artefact,teater:1788,0
saně,sleds,teater,1911,1788,doprava,Artefact,teater:1788,0
sarkofág,sarcophagus,teater,2316,1788,součást hrobu,Artefact,teater:1788,0
scholion,scholia,teater,2241,1788,písemnost,Artefact,teater:1788,0
sedlo,saddle,teater,1901,1788,doprava,Artefact,teater:1788,0
sekera,axe,teater,2138,1788,nástroj,Artefact,teater:1788,0
sekeromlat,hammer-axe,teater,2006,1788,militaria,Artefact,teater:1788,0
sekerovitá hřivna,axe-ingot,teater,2299,1788,platidlo,Artefact,teater:1788,0
sekáč,chopper,teater,2137,1788,nástroj,Artefact,teater:1788,0
sella curulis,sella curulis,teater,2366,1788,symbolický předmět,Artefact,teater:1788,0
sestertius,sestertius,teater,2292,1788,platidlo,Artefact,teater:1788,0
sečná zbraň,cutting arm,teater,1995,1788,militaria,Artefact,teater:1788,0
signální nástroj,signaling tool,teater,1844,1788,doklady umění,Artefact,teater:1788,0
sima,sima,teater,1807,1788,architektonický článek,Artefact,teater:1788,0
sistrum,sistrum,teater,1845,1788,doklady umění,Artefact,teater:1788,0
situla,situla,teater,2075,1788,nádoba,Artefact,teater:1788,0
skořápka,egg shell,teater,1946,1788,ekofakt,Artefact,teater:1788,0
skyfos,skyphos,teater,2076,1788,nádoba,Artefact,teater:1788,0
skříň,wardrobe,teater,2026,1788,nábytek,Artefact,teater:1788,0
sláma,straw,teater,1947,1788,ekofakt,Artefact,teater:1788,0
socha,statue,teater,1888,1788,doklady umění,Artefact,teater:1788,0
solidus,solidus,teater,2293,1788,platidlo,Artefact,teater:1788,0
